127.0.0.1 - - [21/Nov/2018:15:48:28 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/login.jsp HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/js/custom/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/js/custom/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/js/plugins/jquery-ui-1.8.16.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/js/plugins/jquery.uniform.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/js/plugins/jquery-1.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/js/plugins/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/fonts/roboto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/uniform.tp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/jquery.ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/jquery.alerts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/jquery.jgrowl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/jquery.tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/jquery.chosen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/ui.spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/css/plugins/colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/fonts/Roboto-Condensed-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/images/patternbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/images/icons/username.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/images/icons/password.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /StudentManager/images/uniform/sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:03 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
