127.0.0.1 - - [07/Dec/2018:08:16:20 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/ HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/css/index.css HTTP/1.1" 200 55682
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/recruit/images/635170123249913750.jpg HTTP/1.1" 200 87300
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/recruit/images/635508802169230812.jpg HTTP/1.1" 200 202942
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/css/base.css HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/main_logo.png HTTP/1.1" 200 3092
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/nav_inc3.png HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/nav_inc1.png HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/head_logo.png HTTP/1.1" 200 1981
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/it-phone.png HTTP/1.1" 200 12627
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/foot.html HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/it-page-bg.png HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/nav_line.png HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/head_bg.png HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/21.gif HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/user_btn2.png HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/user_btn1.png HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:23 +0800] "GET /QST_ITOFFER/images/it-line01.png HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:24 +0800] "GET /QST_ITOFFER/images/it-button.png HTTP/1.1" 200 89104
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:24 +0800] "GET /QST_ITOFFER/images/it--present-bg.png HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:24 +0800] "GET /QST_ITOFFER/images/it-icon.png HTTP/1.1" 200 12528
0:0:0:0:0:0:0:1 - - [07/Dec/2018:08:16:24 +0800] "GET /QST_ITOFFER/images/foot_bj.png HTTP/1.1" 200 179
